"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Usuários","CRUD de Usuários","Pesquisar usuário pelo Id","0","0","1","0","0"
"Usuários","CRUD de Usuários","Deletar usuário","0","0","1","0","0"
"Usuários","CRUD de Usuários","Tentar pesquisar usuário por Id inexistente","0","0","1","0","0"
"Usuários","CRUD de Usuários","Tentar cadastrar usuário com email e senha em branco","0","0","1","0","0"
"Usuários","CRUD de Usuários","Executar fluxo completo do ciclo de vida do usuário","0","0","1","0","0"
"Usuários","CRUD de Usuários","Criar usuário comum","0","0","1","0","0"
"Usuários","CRUD de Usuários","Atualizar usuário","0","0","1","0","0"
"Usuários","CRUD de Usuários","Tentar cadastrar usuário com senha em branco","0","0","1","0","0"
"Usuários","CRUD de Usuários","Criar usuário administrador","0","0","1","0","0"
"Usuários","CRUD de Usuários","Editar usuário inexistente","0","0","1","0","0"
"Usuários","CRUD de Usuários","Tentar criar usuário comum com email de usuário já existente","0","0","1","0","0"
"Usuários","CRUD de Usuários","Tentar cadastrar usuário com email em branco","0","0","1","0","0"
